Type,Iterations,Time,OptIterations,Discount,Epsilon,SCost,NegTerm,PosTerm,KeyLoss
value,64,0.004647,31,0.999999,1e-06,-0.04,-1,1.21,0.5
value,64,0.004425,31,0.999999,1e-06,-0.04,-1,1.22,0.5
value,64,0.004212,31,0.999999,1e-06,-0.04,-1,1.23,0.5
value,64,0.004339,31,0.999999,1e-06,-0.04,-1,1.24,0.5
value,64,0.004306,31,0.999999,1e-06,-0.04,-1,1.25,0.5
value,64,0.004551,31,0.999999,1e-06,-0.04,-1,1.26,0.5
value,64,0.004785,31,0.999999,1e-06,-0.04,-1,1.27,0.5
value,64,0.004984,31,0.999999,1e-06,-0.04,-1,1.28,0.5
value,64,0.004751,31,0.999999,1e-06,-0.04,-1,1.29,0.5
value,64,0.004277,31,0.999999,1e-06,-0.04,-1,1.3,0.5
value,64,0.005492,31,0.999999,1e-06,-0.04,-1,1.31,0.5
value,64,0.004206,31,0.999999,1e-06,-0.04,-1,1.32,0.5
value,64,0.004294,31,0.999999,1e-06,-0.04,-1,1.33,0.5
value,64,0.004152,31,0.999999,1e-06,-0.04,-1,1.34,0.5
value,64,0.004684,31,0.999999,1e-06,-0.04,-1,1.35,0.5
value,64,0.004927,31,0.999999,1e-06,-0.04,-1,1.36,0.5
value,64,0.004046,31,0.999999,1e-06,-0.04,-1,1.37,0.5
value,64,0.005221,31,0.999999,1e-06,-0.04,-1,1.38,0.5
value,64,0.004568,31,0.999999,1e-06,-0.04,-1,1.39,0.5
value,64,0.0053,31,0.999999,1e-06,-0.04,-1,1.4,0.5
value,64,0.006534,31,0.999999,1e-06,-0.04,-1,1.41,0.5
value,64,0.007165,31,0.999999,1e-06,-0.04,-1,1.42,0.5
value,64,0.006844,31,0.999999,1e-06,-0.04,-1,1.43,0.5
value,64,0.00693,31,0.999999,1e-06,-0.04,-1,1.44,0.5
value,64,0.006815,31,0.999999,1e-06,-0.04,-1,1.45,0.5
value,64,0.005439,31,0.999999,1e-06,-0.04,-1,1.46,0.5
value,64,0.004267,31,0.999999,1e-06,-0.04,-1,1.47,0.5
value,64,0.004072,31,0.999999,1e-06,-0.04,-1,1.48,0.5
value,64,0.005853,31,0.999999,1e-06,-0.04,-1,1.49,0.5
value,64,0.004177,31,0.999999,1e-06,-0.04,-1,1.5,0.5
value,64,0.006431,31,0.999999,1e-06,-0.04,-1,1.51,0.5
value,64,0.006829,31,0.999999,1e-06,-0.04,-1,1.52,0.5
value,64,0.006673,31,0.999999,1e-06,-0.04,-1,1.53,0.5
value,64,0.005499,31,0.999999,1e-06,-0.04,-1,1.54,0.5
value,64,0.004485,31,0.999999,1e-06,-0.04,-1,1.55,0.5
value,64,0.004332,31,0.999999,1e-06,-0.04,-1,1.56,0.5
value,64,0.005783,31,0.999999,1e-06,-0.04,-1,1.57,0.5
value,64,0.004561,31,0.999999,1e-06,-0.04,-1,1.58,0.5
value,64,0.00513,31,0.999999,1e-06,-0.04,-1,1.59,0.5
value,64,0.004349,31,0.999999,1e-06,-0.04,-1,1.6,0.5
value,64,0.004653,31,0.999999,1e-06,-0.04,-1,1.61,0.5
value,64,0.004751,31,0.999999,1e-06,-0.04,-1,1.62,0.5
value,64,0.005168,31,0.999999,1e-06,-0.04,-1,1.63,0.5
value,64,0.004792,31,0.999999,1e-06,-0.04,-1,1.64,0.5
value,64,0.004511,31,0.999999,1e-06,-0.04,-1,1.65,0.5
value,64,0.004911,31,0.999999,1e-06,-0.04,-1,1.66,0.5
value,64,0.004261,31,0.999999,1e-06,-0.04,-1,1.67,0.5
value,64,0.007044,31,0.999999,1e-06,-0.04,-1,1.68,0.5
value,64,0.006841,31,0.999999,1e-06,-0.04,-1,1.69,0.5
value,64,0.006126,31,0.999999,1e-06,-0.04,-1,1.7,0.5
value,64,0.005062,31,0.999999,1e-06,-0.04,-1,1.71,0.5
value,64,0.006792,31,0.999999,1e-06,-0.04,-1,1.72,0.5
value,64,0.006207,31,0.999999,1e-06,-0.04,-1,1.73,0.5
value,64,0.004887,31,0.999999,1e-06,-0.04,-1,1.74,0.5
value,64,0.006066,31,0.999999,1e-06,-0.04,-1,1.75,0.5
value,64,0.004805,31,0.999999,1e-06,-0.04,-1,1.76,0.5
value,64,0.006245,31,0.999999,1e-06,-0.04,-1,1.77,0.5
value,64,0.0058,31,0.999999,1e-06,-0.04,-1,1.78,0.5
value,64,0.006428,31,0.999999,1e-06,-0.04,-1,1.79,0.5
value,64,0.006641,31,0.999999,1e-06,-0.04,-1,1.8,0.5
value,64,0.005001,31,0.999999,1e-06,-0.04,-1,1.81,0.5
value,64,0.004748,31,0.999999,1e-06,-0.04,-1,1.82,0.5
value,64,0.005407,31,0.999999,1e-06,-0.04,-1,1.83,0.5
value,64,0.005591,31,0.999999,1e-06,-0.04,-1,1.84,0.5
value,64,0.004385,31,0.999999,1e-06,-0.04,-1,1.85,0.5
value,64,0.004608,31,0.999999,1e-06,-0.04,-1,1.86,0.5
value,64,0.0061,31,0.999999,1e-06,-0.04,-1,1.87,0.5
value,64,0.004564,31,0.999999,1e-06,-0.04,-1,1.88,0.5
value,64,0.004323,31,0.999999,1e-06,-0.04,-1,1.89,0.5
value,64,0.004257,31,0.999999,1e-06,-0.04,-1,1.9,0.5
value,64,0.004127,31,0.999999,1e-06,-0.04,-1,1.91,0.5
value,64,0.004023,31,0.999999,1e-06,-0.04,-1,1.92,0.5
value,64,0.005392,31,0.999999,1e-06,-0.04,-1,1.93,0.5
value,64,0.004284,31,0.999999,1e-06,-0.04,-1,1.94,0.5
value,64,0.004063,31,0.999999,1e-06,-0.04,-1,1.95,0.5
value,64,0.004257,31,0.999999,1e-06,-0.04,-1,1.96,0.5
value,64,0.005391,31,0.999999,1e-06,-0.04,-1,1.97,0.5
value,64,0.004376,31,0.999999,1e-06,-0.04,-1,1.98,0.5
value,64,0.00419,31,0.999999,1e-06,-0.04,-1,1.99,0.5
value,64,0.004142,31,0.999999,1e-06,-0.04,-1,2,0.5
value,64,0.00416,31,0.999999,1e-06,-0.04,-1,2.01,0.5
value,64,0.004079,31,0.999999,1e-06,-0.04,-1,2.02,0.5
value,64,0.004146,31,0.999999,1e-06,-0.04,-1,2.03,0.5
value,64,0.004563,31,0.999999,1e-06,-0.04,-1,2.04,0.5
value,64,0.006865,31,0.999999,1e-06,-0.04,-1,2.05,0.5
value,64,0.00675,31,0.999999,1e-06,-0.04,-1,2.06,0.5
value,64,0.006662,31,0.999999,1e-06,-0.04,-1,2.07,0.5
value,64,0.00656,31,0.999999,1e-06,-0.04,-1,2.08,0.5
value,64,0.004876,31,0.999999,1e-06,-0.04,-1,2.09,0.5
value,64,0.004279,31,0.999999,1e-06,-0.04,-1,2.1,0.5
value,64,0.005139,31,0.999999,1e-06,-0.04,-1,2.11,0.5
value,64,0.00664,31,0.999999,1e-06,-0.04,-1,2.12,0.5
value,64,0.004656,31,0.999999,1e-06,-0.04,-1,2.13,0.5
value,64,0.004753,31,0.999999,1e-06,-0.04,-1,2.14,0.5
value,64,0.005171,31,0.999999,1e-06,-0.04,-1,2.15,0.5
value,64,0.004357,31,0.999999,1e-06,-0.04,-1,2.16,0.5
value,64,0.003969,31,0.999999,1e-06,-0.04,-1,2.17,0.5
value,64,0.004074,31,0.999999,1e-06,-0.04,-1,2.18,0.5
value,64,0.005414,31,0.999999,1e-06,-0.04,-1,2.19,0.5
value,64,0.004657,31,0.999999,1e-06,-0.04,-1,2.2,0.5
value,64,0.004057,31,0.999999,1e-06,-0.04,-1,2.21,0.5
value,64,0.004294,31,0.999999,1e-06,-0.04,-1,2.22,0.5
value,64,0.003934,31,0.999999,1e-06,-0.04,-1,2.23,0.5
value,64,0.003899,31,0.999999,1e-06,-0.04,-1,2.24,0.5
value,64,0.00421,31,0.999999,1e-06,-0.04,-1,2.25,0.5
value,64,0.00407,31,0.999999,1e-06,-0.04,-1,2.26,0.5
value,64,0.00491,31,0.999999,1e-06,-0.04,-1,2.27,0.5
value,64,0.003957,31,0.999999,1e-06,-0.04,-1,2.28,0.5
value,64,0.004401,31,0.999999,1e-06,-0.04,-1,2.29,0.5
value,64,0.006379,31,0.999999,1e-06,-0.04,-1,2.3,0.5
value,64,0.005104,31,0.999999,1e-06,-0.04,-1,2.31,0.5
value,64,0.004253,31,0.999999,1e-06,-0.04,-1,2.32,0.5
value,64,0.003868,31,0.999999,1e-06,-0.04,-1,2.33,0.5
value,64,0.004828,31,0.999999,1e-06,-0.04,-1,2.34,0.5
value,64,0.005058,31,0.999999,1e-06,-0.04,-1,2.35,0.5
value,64,0.004945,31,0.999999,1e-06,-0.04,-1,2.36,0.5
value,64,0.005306,31,0.999999,1e-06,-0.04,-1,2.37,0.5
value,64,0.003935,31,0.999999,1e-06,-0.04,-1,2.38,0.5
value,64,0.004292,31,0.999999,1e-06,-0.04,-1,2.39,0.5
value,64,0.004082,31,0.999999,1e-06,-0.04,-1,2.4,0.5
value,64,0.005304,31,0.999999,1e-06,-0.04,-1,2.41,0.5
value,64,0.005581,31,0.999999,1e-06,-0.04,-1,2.42,0.5
value,64,0.004185,31,0.999999,1e-06,-0.04,-1,2.43,0.5
value,64,0.003927,31,0.999999,1e-06,-0.04,-1,2.44,0.5
value,64,0.004039,31,0.999999,1e-06,-0.04,-1,2.45,0.5
value,64,0.004359,31,0.999999,1e-06,-0.04,-1,2.46,0.5
value,64,0.004643,31,0.999999,1e-06,-0.04,-1,2.47,0.5
value,64,0.004108,31,0.999999,1e-06,-0.04,-1,2.48,0.5
value,64,0.004143,31,0.999999,1e-06,-0.04,-1,2.49,0.5
value,64,0.004486,31,0.999999,1e-06,-0.04,-1,2.5,0.5
value,64,0.003837,31,0.999999,1e-06,-0.04,-1,2.51,0.5
value,64,0.004791,31,0.999999,1e-06,-0.04,-1,2.52,0.5
value,64,0.004091,31,0.999999,1e-06,-0.04,-1,2.53,0.5
value,64,0.004394,31,0.999999,1e-06,-0.04,-1,2.54,0.5
value,64,0.003865,31,0.999999,1e-06,-0.04,-1,2.55,0.5
value,64,0.004171,31,0.999999,1e-06,-0.04,-1,2.56,0.5
value,64,0.00423,31,0.999999,1e-06,-0.04,-1,2.57,0.5
value,64,0.004033,31,0.999999,1e-06,-0.04,-1,2.58,0.5
value,64,0.003824,31,0.999999,1e-06,-0.04,-1,2.59,0.5
value,64,0.005278,31,0.999999,1e-06,-0.04,-1,2.6,0.5
value,64,0.004499,31,0.999999,1e-06,-0.04,-1,2.61,0.5
value,64,0.003816,31,0.999999,1e-06,-0.04,-1,2.62,0.5
value,64,0.003798,31,0.999999,1e-06,-0.04,-1,2.63,0.5
value,64,0.003889,31,0.999999,1e-06,-0.04,-1,2.64,0.5
value,64,0.004241,31,0.999999,1e-06,-0.04,-1,2.65,0.5
value,64,0.003999,31,0.999999,1e-06,-0.04,-1,2.66,0.5
value,64,0.003866,31,0.999999,1e-06,-0.04,-1,2.67,0.5
value,64,0.003807,31,0.999999,1e-06,-0.04,-1,2.68,0.5
value,64,0.00425,31,0.999999,1e-06,-0.04,-1,2.69,0.5
value,64,0.004669,31,0.999999,1e-06,-0.04,-1,2.7,0.5
value,64,0.004139,31,0.999999,1e-06,-0.04,-1,2.71,0.5
value,64,0.003862,31,0.999999,1e-06,-0.04,-1,2.72,0.5
value,64,0.004044,31,0.999999,1e-06,-0.04,-1,2.73,0.5
value,64,0.003859,31,0.999999,1e-06,-0.04,-1,2.74,0.5
value,64,0.003893,31,0.999999,1e-06,-0.04,-1,2.75,0.5
value,64,0.003993,31,0.999999,1e-06,-0.04,-1,2.76,0.5
value,64,0.00418,31,0.999999,1e-06,-0.04,-1,2.77,0.5
value,64,0.003879,31,0.999999,1e-06,-0.04,-1,2.78,0.5
value,64,0.003986,31,0.999999,1e-06,-0.04,-1,2.79,0.5
value,64,0.003831,31,0.999999,1e-06,-0.04,-1,2.8,0.5
value,64,0.00439,31,0.999999,1e-06,-0.04,-1,2.81,0.5
value,64,0.003813,31,0.999999,1e-06,-0.04,-1,2.82,0.5
value,64,0.003969,31,0.999999,1e-06,-0.04,-1,2.83,0.5
value,64,0.003797,31,0.999999,1e-06,-0.04,-1,2.84,0.5
value,64,0.003997,31,0.999999,1e-06,-0.04,-1,2.85,0.5
value,64,0.003879,31,0.999999,1e-06,-0.04,-1,2.86,0.5
value,64,0.004262,31,0.999999,1e-06,-0.04,-1,2.87,0.5
value,64,0.003893,31,0.999999,1e-06,-0.04,-1,2.88,0.5
value,64,0.004059,31,0.999999,1e-06,-0.04,-1,2.89,0.5
value,64,0.003813,31,0.999999,1e-06,-0.04,-1,2.9,0.5
value,64,0.003884,31,0.999999,1e-06,-0.04,-1,2.91,0.5
value,64,0.003867,31,0.999999,1e-06,-0.04,-1,2.92,0.5
value,64,0.005958,31,0.999999,1e-06,-0.04,-1,2.93,0.5
value,64,0.005187,31,0.999999,1e-06,-0.04,-1,2.94,0.5
value,64,0.004835,31,0.999999,1e-06,-0.04,-1,2.95,0.5
value,64,0.004854,31,0.999999,1e-06,-0.04,-1,2.96,0.5
value,64,0.004332,31,0.999999,1e-06,-0.04,-1,2.97,0.5
value,64,0.00414,31,0.999999,1e-06,-0.04,-1,2.98,0.5
value,64,0.004009,31,0.999999,1e-06,-0.04,-1,2.99,0.5
value,64,0.004762,31,0.999999,1e-06,-0.04,-1,3,0.5
value,64,0.006971,31,0.999999,1e-06,-0.04,-1,3.01,0.5
value,64,0.006503,31,0.999999,1e-06,-0.04,-1,3.02,0.5
value,64,0.004178,31,0.999999,1e-06,-0.04,-1,3.03,0.5
value,64,0.003909,31,0.999999,1e-06,-0.04,-1,3.04,0.5
value,64,0.003834,31,0.999999,1e-06,-0.04,-1,3.05,0.5
value,64,0.006109,31,0.999999,1e-06,-0.04,-1,3.06,0.5
value,64,0.004624,31,0.999999,1e-06,-0.04,-1,3.07,0.5
value,64,0.004833,31,0.999999,1e-06,-0.04,-1,3.08,0.5
value,64,0.004014,31,0.999999,1e-06,-0.04,-1,3.09,0.5
value,64,0.003799,31,0.999999,1e-06,-0.04,-1,3.1,0.5
value,64,0.003844,31,0.999999,1e-06,-0.04,-1,3.11,0.5
value,64,0.003971,31,0.999999,1e-06,-0.04,-1,3.12,0.5
value,64,0.003841,31,0.999999,1e-06,-0.04,-1,3.13,0.5
value,64,0.003823,31,0.999999,1e-06,-0.04,-1,3.14,0.5
value,64,0.003826,31,0.999999,1e-06,-0.04,-1,3.15,0.5
value,64,0.004746,31,0.999999,1e-06,-0.04,-1,3.16,0.5
value,64,0.003991,31,0.999999,1e-06,-0.04,-1,3.17,0.5
value,64,0.003813,31,0.999999,1e-06,-0.04,-1,3.18,0.5
value,64,0.003851,31,0.999999,1e-06,-0.04,-1,3.19,0.5
value,64,0.004526,31,0.999999,1e-06,-0.04,-1,3.2,0.5
value,64,0.004035,31,0.999999,1e-06,-0.04,-1,3.21,0.5
value,64,0.003814,31,0.999999,1e-06,-0.04,-1,3.22,0.5
value,64,0.003983,31,0.999999,1e-06,-0.04,-1,3.23,0.5
value,64,0.004659,31,0.999999,1e-06,-0.04,-1,3.24,0.5
value,64,0.004051,31,0.999999,1e-06,-0.04,-1,3.25,0.5
value,64,0.004097,31,0.999999,1e-06,-0.04,-1,3.26,0.5
value,64,0.003847,31,0.999999,1e-06,-0.04,-1,3.27,0.5
value,64,0.004129,31,0.999999,1e-06,-0.04,-1,3.28,0.5
value,64,0.003904,31,0.999999,1e-06,-0.04,-1,3.29,0.5
value,64,0.003798,31,0.999999,1e-06,-0.04,-1,3.3,0.5
value,64,0.003915,31,0.999999,1e-06,-0.04,-1,3.31,0.5
value,64,0.00448,31,0.999999,1e-06,-0.04,-1,3.32,0.5
value,64,0.00414,31,0.999999,1e-06,-0.04,-1,3.33,0.5
value,64,0.00387,31,0.999999,1e-06,-0.04,-1,3.34,0.5
value,64,0.00396,31,0.999999,1e-06,-0.04,-1,3.35,0.5
value,64,0.004087,31,0.999999,1e-06,-0.04,-1,3.36,0.5
value,64,0.003971,31,0.999999,1e-06,-0.04,-1,3.37,0.5
value,64,0.003789,31,0.999999,1e-06,-0.04,-1,3.38,0.5
value,64,0.003863,31,0.999999,1e-06,-0.04,-1,3.39,0.5
value,64,0.004545,31,0.999999,1e-06,-0.04,-1,3.4,0.5
value,64,0.0039,31,0.999999,1e-06,-0.04,-1,3.41,0.5
value,64,0.005573,31,0.999999,1e-06,-0.04,-1,3.42,0.5
value,64,0.004856,31,0.999999,1e-06,-0.04,-1,3.43,0.5
value,64,0.004324,31,0.999999,1e-06,-0.04,-1,3.44,0.5
value,64,0.00401,31,0.999999,1e-06,-0.04,-1,3.45,0.5
value,64,0.003827,31,0.999999,1e-06,-0.04,-1,3.46,0.5
value,64,0.003953,31,0.999999,1e-06,-0.04,-1,3.47,0.5
value,64,0.004151,31,0.999999,1e-06,-0.04,-1,3.48,0.5
value,64,0.004061,31,0.999999,1e-06,-0.04,-1,3.49,0.5
value,64,0.00386,31,0.999999,1e-06,-0.04,-1,3.5,0.5
value,64,0.003933,31,0.999999,1e-06,-0.04,-1,3.51,0.5
value,64,0.004047,31,0.999999,1e-06,-0.04,-1,3.52,0.5
value,64,0.003939,31,0.999999,1e-06,-0.04,-1,3.53,0.5
value,64,0.0038,31,0.999999,1e-06,-0.04,-1,3.54,0.5
value,64,0.003887,31,0.999999,1e-06,-0.04,-1,3.55,0.5
value,64,0.004038,31,0.999999,1e-06,-0.04,-1,3.56,0.5
value,64,0.004503,31,0.999999,1e-06,-0.04,-1,3.57,0.5
value,64,0.005911,31,0.999999,1e-06,-0.04,-1,3.58,0.5
value,64,0.004808,31,0.999999,1e-06,-0.04,-1,3.59,0.5
value,64,0.004264,31,0.999999,1e-06,-0.04,-1,3.6,0.5
value,64,0.00409,31,0.999999,1e-06,-0.04,-1,3.61,0.5
value,64,0.003881,31,0.999999,1e-06,-0.04,-1,3.62,0.5
value,64,0.004191,31,0.999999,1e-06,-0.04,-1,3.63,0.5
value,64,0.003845,31,0.999999,1e-06,-0.04,-1,3.64,0.5
value,64,0.003813,31,0.999999,1e-06,-0.04,-1,3.65,0.5
value,64,0.003875,31,0.999999,1e-06,-0.04,-1,3.66,0.5
value,64,0.004074,31,0.999999,1e-06,-0.04,-1,3.67,0.5
value,64,0.003905,31,0.999999,1e-06,-0.04,-1,3.68,0.5
value,64,0.003847,31,0.999999,1e-06,-0.04,-1,3.69,0.5
value,64,0.004517,31,0.999999,1e-06,-0.04,-1,3.7,0.5
value,64,0.003927,31,0.999999,1e-06,-0.04,-1,3.71,0.5
value,64,0.004151,31,0.999999,1e-06,-0.04,-1,3.72,0.5
value,64,0.003789,31,0.999999,1e-06,-0.04,-1,3.73,0.5
value,64,0.003876,31,0.999999,1e-06,-0.04,-1,3.74,0.5
